variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature,struct_max_abs,vol_max_abs
SN,thinbba,232061632010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,164248124010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,494659713126144,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2032,4.762,279.0,4.762,3.262,true,false,volume_persistent,2.0,37.0
SN,thinbba,199167731020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,564042247126144,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,164092265010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2000,3.932,214.0,3.509,3.932,false,false,structure_densephase,2.0,48.0
SN,thinbba,227600935010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,220029736010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,494677294126144,6,false,BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2042,6.357,533.0,5.455,6.357,false,false,structure_densephase,3.0,77.0
SN,thinbba,257095048010854,6,false,TPA|BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2030,1.007,104.0,0.794,1.007,true,false,volume_persistent,1.0,13.0
SN,thinbba,286746257489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,220064993010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,12324087010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2006,3.846,206.0,3.846,1.967,false,false,structure_densephase,27.0,40.0
SN,thinbba,1283994748290487,6,false,BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2036,3.237,171.0,1.562,3.237,false,false,structure_densephase,3.0,25.0
SN,thinbba,940886642290487,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2035,12.61,186.0,1.015,12.61,true,true,count_straddle,18.0,3.0
SN,thinbba,232403487010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,163927044010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,1996,3.097,220.0,1.77,3.097,false,false,structure_densephase,2.0,26.0
SN,thinbba,942050805290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,163921175010854,6,false,BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BA,1991,1.852,128.0,1.852,1.429,true,false,volume_persistent,1.0,13.0
SN,thinbba,220359483010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,164089298010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,163925443010854,6,false,BA|SDI|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2000,2.041,106.0,2.041,1.2,true,false,volume_persistent,1.0,14.0
SN,thinbba,220314665010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,161804122010854,6,false,BA|SDI|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2010,2.83,100.0,2.381,2.83,true,false,volume_persistent,1.0,10.0
SN,thinbba,176882023020004,6,false,TPA|BA|SDI|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2032,2.721,251.0,1.0,2.721,true,true,threshold_crossing,1.0,14.0
SN,thinbba,159202624010854,6,false,BA|SDI|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2002,2.164,193.0,1.887,2.164,true,false,volume_persistent,1.0,19.0
SN,thinbba,720381469290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,502222695126144,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2042,3.233,447.0,2.632,3.233,true,false,volume_persistent,1.0,37.0
SN,thinbba,434829722489998,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2041,3.637,325.0,3.279,3.637,false,false,structure_densephase,2.0,49.0
SN,thinbba,634077956126144,6,false,BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2042,2.748,290.0,0.73,2.748,true,false,volume_persistent,1.0,40.0
SN,thinbba,809418503290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,161809815010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,200546442010854,6,false,BA|SDI|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2020,2.0,148.0,2.0,1.771,true,true,threshold_crossing,1.0,19.0
SN,thinbba,161241089010854,6,false,SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,1994,1.923,130.0,1.923,1.176,true,false,volume_persistent,1.0,14.0
SN,thinbba,200272335010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,SDI,2027,3.226,154.0,3.226,1.834,false,false,structure_densephase,17.0,9.0
SN,thinbba,161243801010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,200274549010854,6,false,CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2027,12.497,462.0,1.408,12.497,true,false,volume_persistent,1.0,5.0
SN,thinbba,1293225966290487,6,false,BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2037,1.694,130.0,1.515,1.694,false,false,structure_densephase,2.0,29.0
SN,thinbba,200500626010854,6,false,SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2019,25.275,188.0,0.84,25.275,true,false,volume_persistent,1.0,15.0
SN,thinbba,210896803010854,6,false,BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2014,1.748,130.0,1.562,1.748,true,false,volume_persistent,1.0,26.0
SN,thinbba,158849310010854,6,false,BA|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,1997,2.588,235.0,1.667,2.588,true,false,volume_persistent,1.0,42.0
SN,thinbba,232371628010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2021,2.24,200.0,1.198,2.24,false,true,structure_densephase,5.0,30.0
SN,thinbba,232403864010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,163383461010854,6,false,SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2005,2.135,200.0,0.98,2.135,true,false,volume_persistent,1.0,30.0
SN,thinbba,1261521450290487,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BA,2036,1.449,85.0,1.449,1.173,true,false,volume_persistent,3.0,6.0
SN,thinbba,161243786010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,161805800010854,6,false,TPA|BA|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2015,2.703,208.0,2.703,2.499,true,false,volume_persistent,1.0,23.0
SN,thinbba,200269777010854,6,false,SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2015,3.125,134.0,3.125,1.531,true,true,threshold_crossing,1.0,22.0
SN,thinbba,158406756010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2020,2.083,33.0,2.083,0.927,true,false,print_boundary,4.0,24.0
SN,thinbba,474350421489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,158074465010854,6,false,BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,1998,2.443,240.0,1.266,2.443,true,false,volume_persistent,1.0,11.0
SN,thinbba,216909149010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BA,2027,2.273,52.0,2.273,1.521,false,false,structure_densephase,30.0,21.0
SN,thinbba,165734291020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2032,4.255,78.0,4.255,1.184,false,false,structure_densephase,58.0,20.0
SN,thinbba,162523270010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2012,7.869,360.0,2.02,7.869,false,true,structure_densephase,2.0,31.0
SN,thinbba,223814117010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,921827906290487,6,false,CCF,CCF,2041,0.356,1.0,0.356,0.0,true,false,print_boundary,1.0,0.0
SN,thinbba,202482057010854,6,false,BA|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2023,2.619,158.0,2.439,2.619,true,false,volume_persistent,1.0,27.0
SN,thinbba,158073969010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2003,2.083,230.0,2.083,2.046,true,false,volume_persistent,1.0,35.0
SN,thinbba,216864660010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,253996756010854,6,false,TPA|BA|SDI|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2015,3.879,77.0,2.778,3.879,true,true,threshold_crossing,1.0,8.0
SN,thinbba,216864573010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2021,1.786,100.0,1.786,1.059,true,false,volume_persistent,4.0,23.0
SN,thinbba,216824165010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,158072865010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2003,2.041,148.0,2.041,1.32,true,false,volume_persistent,1.0,19.0
SN,thinbba,158074016010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,thinbba,166709448010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,163925862010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,220182923010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,163923046010854,6,false,TCuFt|SCuFt|BdFt,SCuFt,1981,0.048,1.0,0.0,0.048,true,true,print_boundary,0.0,1.0
SN,salvage,164246326010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,250136095010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,164242774010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,559304224126144,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SDI,2043,0.314,5.0,0.314,0.116,true,false,print_boundary,4.0,4.0
SN,salvage,15992155010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,234992477020004,6,false,TPA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2028,3.226,32.0,3.226,3.165,false,false,structure_densephase,8.0,15.0
SN,salvage,15990996010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,319002425489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,202455484010854,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2028,0.388,40.0,0.151,0.388,true,false,print_boundary,3.0,4.0
SN,salvage,318986146489998,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,TPA,2039,3.837,224.0,3.837,1.937,false,false,structure_densephase,46.0,89.0
SN,salvage,202566908010854,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2025,1.59,26.0,0.309,1.59,true,false,volume_persistent,3.0,7.0
SN,salvage,232058139010854,6,false,TPA|TCuFt|MCuFt|BdFt,TPA,2023,0.123,3.0,0.123,0.04,true,false,print_boundary,1.0,1.0
SN,salvage,1261535687290487,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2046,1.533,233.0,0.446,1.533,true,false,volume_persistent,5.0,14.0
SN,salvage,1860927083290487,6,false,TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2034,0.45,39.0,0.0,0.45,true,true,print_boundary,0.0,1.0
SN,salvage,232212406010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2022,5.227,31.0,2.778,5.227,false,false,structure_densephase,4.0,29.0
SN,salvage,259715312010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,232056235010854,6,false,CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2023,1.786,5.0,1.786,0.152,true,false,print_boundary,1.0,5.0
SN,salvage,12355826010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,202388199010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,232059188010854,6,false,TCuFt|BdFt,TCuFt,2019,0.111,2.0,0.0,0.111,true,true,print_boundary,0.0,2.0
SN,salvage,232056409010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,166742837010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,232241875010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,434861201489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
